timestamp,price_open,price_high,price_low,price_close,volume_traded,trades_count,MACD,SMA,OBV,RSI,MFI,vader_pos,vader_neg,vader_neu,vader_compound,pos_count,neg_count,neu_count
2017/9/1,4734.26,4935,4671.09,4921.7,15367.5297,26908,291.2485114,4637.594,15367.5297,84.63403447,66.96340307,0.095722222,0.038481481,0.865777778,0.162975926,52,18,38
2017/9/2,4921.71,4979.9,4488.5,4599.9,16977.79362,29688,284.6183689,4681.576,-1610.263925,63.13782681,76.85593496,0.079785714,0.045489796,0.874734694,0.079195918,30,21,47
2017/9/3,4599.9,4700,4385,4606.26,11224.91456,22080,285.1257193,4687.064,9614.650631,61.60523027,81.29800564,0.102897959,0.045244898,0.851867347,0.141547959,40,19,39
2017/9/4,4603.68,4613.97,4058.5,4277,25069.12523,43072,258.8599643,4627.824,-15454.4746,49.2060764,88.02597509,0.063161616,0.063484848,0.873353535,0.034244444,30,24,45
2017/9/5,4282.53,4474.88,4001.93,4396.52,20884.21969,30792,268.3943233,4560.276,5429.745095,51.43351307,91.97183057,0.088951923,0.037817308,0.873221154,0.122278846,40,19,45
2017/9/6,4397.38,4649.23,4356.42,4605.8,16634.10421,25771,285.0890242,4497.096,22063.8493,55.80411592,94.16820397,0.096980392,0.03872549,0.86427451,0.150564706,44,11,47
2017/9/7,4605.81,4674.34,4475,4615,9254.851427,17813,285.8229273,4500.116,31318.70073,54.22798764,58.67290919,0.106901961,0.027715686,0.865382353,0.19222549,47,16,39
2017/9/8,4615,4679.97,4125.99,4312,23693.30162,35732,261.6519871,4441.264,7625.399105,47.05760285,86.01035936,0.0971875,0.0695625,0.83325,0.09055,38,27,31
2017/9/9,4327.41,4379.78,4164,4308.72,9974.388235,17679,261.3903347,4447.608,-2348.98913,48.81886611,65.57246905,0.096020619,0.041195876,0.862783505,0.133597938,38,17,42
2017/9/10,4322.44,4322.44,4010,4226.22,14724.20414,20432,254.8091381,4413.548,-17073.19327,48.39272919,74.34725867,0.107818182,0.035131313,0.857050505,0.180166667,46,10,43
2017/9/11,4226.21,4353.49,4092.4,4207.31,11191.59504,17682,253.3006481,4333.85,-28264.78832,49.71286302,44.40856791,0.102514286,0.041161905,0.85627619,0.134062857,44,24,37
2017/9/12,4198.89,4377.65,4080,4172.56,13294.4377,19286,250.5285683,4245.362,-41559.22602,50.54491869,26.07693683,0.09755,0.08156,0.82089,0.034377,38,29,33
2017/9/13,4170.6,4179.14,3720.01,3865.34,29636.37492,30834,226.02099,4156.03,-71195.60093,44.3541143,15.55637808,0.106869159,0.056672897,0.836485981,0.104162617,38,26,43
2017/9/14,3861.89,3921.74,3210,3227.79,41319.39713,43518,175.1623005,3939.844,-112514.9981,34.68532317,0,0.089566038,0.079264151,0.831179245,0.055263208,36,31,39
2017/9/15,3227.79,3820,2972.01,3700.01,60278.94654,68887,212.832272,3834.602,-52236.05152,43.6800796,0,0.100947917,0.065864583,0.833197917,0.071817708,37,25,34
